"date","county","county.1","date.1","alive.total","alive.suspect","alive.probable","dead.total","cum.total","cum.suspect","cum.probable","cum.confirm","cum.death","new.hcw.cases","new.hcw.deaths","cum.hcw.cases","cum.hcw.deaths","new.contacts","under.followup","seen.on.day","completed.21d.followup","lost.followup","alive.confirm","dead.suspect","dead.probable","dead.community","dead.patients"
2014-12-09,"Grand Bassa","Grand Bassa",2014-12-09,2,2,0,0,158,45,70,43,70,NA,NA,0,8,7,42,30,0,12,1,0,0,0,0
2014-12-09,"Grand Cape Mount","Grand Cape Mount",2014-12-09,0,0,0,2,165,47,50,68,87,NA,NA,4,10,0,339,328,11,0,0,2,0,1,1
2014-12-09,"Grand Gedeh","Grand Gedeh",2014-12-09,0,0,0,0,10,8,0,2,5,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,"Grand Kru","Grand Kru",2014-12-09,0,0,0,0,36,14,18,4,27,NA,NA,0,0,0,78,78,0,0,0,0,0,0,0
2014-12-09,"Lofa","Lofa",2014-12-09,0,0,0,0,645,171,148,326,384,NA,NA,0,22,0,0,0,0,0,0,0,0,0,0
2014-12-09,"Margibi","Margibi",2014-12-09,0,0,0,0,1255,409,463,383,557,NA,NA,16,71,0,962,608,0,0,0,0,0,0,0
2014-12-09,"Maryland","Maryland",2014-12-09,0,0,0,2,23,17,2,4,19,NA,NA,38,1,5,15,15,0,0,0,2,0,0,0
2014-12-09,"Montserrado","Montserrado",2014-12-09,8,5,3,6,4196,1726,794,1676,1747,NA,NA,0,179,162,3726,3718,133,0,0,6,0,1,1
2014-12-09,"National","National",2014-12-09,20,14,6,10,7797,3050,1801,2946,3290,NA,NA,0,366,195,5371,4975,185,13,2,10,0,2,2
2014-12-09,"Nimba","Nimba",2014-12-09,1,1,0,0,320,78,128,114,53,NA,NA,83,12,0,0,0,0,0,0,0,0,0,0
2014-12-09,"River Cess","River Cess",2014-12-09,0,0,0,0,41,9,12,20,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,"River Gee","River Gee",2014-12-09,0,0,0,0,19,7,4,8,8,NA,NA,2,3,0,0,0,33,0,0,0,0,0,0
2014-12-09,"Sinoe","Sinoe",2014-12-09,3,0,3,0,40,21,3,16,14,NA,NA,0,1,21,57,46,0,0,0,0,0,0,0
2014-12-10,"Bomi","Bomi",2014-12-10,0,0,0,0,296,85,74,137,161,NA,NA,18,14,4,75,75,41,0,0,0,0,0,0
